Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
SV - Subway,78749,03/07/2012,90,"5400 BRODIE LN Unit 1280
SUNSET VALLEY, TX 78749
(30.23027779400047, -97.81996381899967)",10325532,Routine Inspection
SV - Sunset Valley Elementary,78745,03/08/2013,97,"3000 JONES RD
SUNSET VALLEY, TX 78745
(30.227195320000476, -97.80707837499966)",2800490,Routine Inspection
SV - Sunset Valley Elementary,78745,03/27/2012,97,"3000 JONES RD
SUNSET VALLEY, TX 78745
(30.227195320000476, -97.80707837499966)",2800490,Routine Inspection
SV - Sunset Valley Elementary,78745,08/30/2012,97,"3000 JONES RD
SUNSET VALLEY, TX 78745
(30.227195320000476, -97.80707837499966)",2800490,Routine Inspection
SV - Sunset Valley Elementary,78745,03/07/2014,97,"3000 JONES RD
SUNSET VALLEY, TX 78745
(30.227195320000476, -97.80707837499966)",2800490,Routine Inspection
SV - Sunset Valley Elementary,78745,08/28/2014,93,"3000 JONES RD
SUNSET VALLEY, TX 78745
(30.227195320000476, -97.80707837499966)",2800490,Routine Inspection
SV - Sunset Valley Elementary,78745,08/29/2013,100,"3000 JONES RD
SUNSET VALLEY, TX 78745
(30.227195320000476, -97.80707837499966)",2800490,Routine Inspection
SV - Tarka Indian Kitchen,78745,04/19/2012,96,"5207 BRODIE LN Unit 120
SUNSET VALLEY, TX 78745
(30.231603950000476, -97.8188754359997)",10333486,Routine Inspection
SV - Tarka Indian Kitchen,78745,11/06/2013,93,"5207 BRODIE LN Unit 120
SUNSET VALLEY, TX 78745
(30.231603950000476, -97.8188754359997)",10333486,Routine Inspection
SV - Tarka Indian Kitchen,78745,11/08/2012,89,"5207 BRODIE LN Unit 120
SUNSET VALLEY, TX 78745
(30.231603950000476, -97.8188754359997)",10333486,Routine Inspection
SV - Tarka Indian Kitchen,78745,04/16/2013,96,"5207 BRODIE LN Unit 120
SUNSET VALLEY, TX 78745
(30.231603950000476, -97.8188754359997)",10333486,Routine Inspection
SV - Tarka Indian Kitchen,78745,07/02/2014,88,"5207 BRODIE LN Unit 120
SUNSET VALLEY, TX 78745
(30.231603950000476, -97.8188754359997)",10333486,Routine Inspection
SV - Texadelphia,78749,05/29/2014,89,"5400 BRODIE LN Unit 230
SUNSET VALLEY, TX 78749
(30.23027779400047, -97.81996381899967)",10849197,Routine Inspection
SV - Texadelphia,78749,02/06/2014,94,"5400 BRODIE LN Unit 230
SUNSET VALLEY, TX 78749
(30.23027779400047, -97.81996381899967)",10849197,Routine Inspection
SV - Texadelphia,78749,07/25/2013,90,"5400 BRODIE LN Unit 230
SUNSET VALLEY, TX 78749
(30.23027779400047, -97.81996381899967)",10849197,Routine Inspection
SV - Wendy's W108,78749,10/23/2014,97,"4961 W US 290 HWY EB
SUNSET VALLEY, TX 78749
(30.215313550000474, -97.85749815199966)",11119775,Routine Inspection
SV - Which Wich,78745,07/17/2014,86,"5207 BRODIE LN Unit 210
SUNSET VALLEY, TX 78745
(30.231603950000476, -97.8188754359997)",10976291,Routine Inspection
SV - Which Wich,78745,01/14/2014,92,"5207 BRODIE LN Unit 210
SUNSET VALLEY, TX 78745
(30.231603950000476, -97.8188754359997)",10976291,Routine Inspection
SV - Zoes Kitchen,78745,01/14/2014,93,"5601 BRODIE LN
SUNSET VALLEY, TX 78745
(30.227093918000435, -97.82185523599969)",10879986,Routine Inspection
SV - Zoes Kitchen,78745,07/17/2014,89,"5601 BRODIE LN
SUNSET VALLEY, TX 78745
(30.227093918000435, -97.82185523599969)",10879986,Routine Inspection
Swad Restaurant,78753,11/01/2012,78,"9515 N LAMAR BLVD
AUSTIN, TX 78753
(30.364865342000485, -97.69598342799969)",2801342,Routine Inspection
Swad Restaurant,78753,05/06/2013,89,"9515 N LAMAR BLVD
AUSTIN, TX 78753
(30.364865342000485, -97.69598342799969)",2801342,Routine Inspection
Swad Restaurant,78753,10/03/2014,80,"9515 N LAMAR BLVD
AUSTIN, TX 78753
(30.364865342000485, -97.69598342799969)",2801342,Routine Inspection
Swad Restaurant,78753,01/20/2012,76,"9515 N LAMAR BLVD
AUSTIN, TX 78753
(30.364865342000485, -97.69598342799969)",2801342,Routine Inspection
Swad Restaurant,78753,12/17/2013,87,"9515 N LAMAR BLVD
AUSTIN, TX 78753
(30.364865342000485, -97.69598342799969)",2801342,Routine Inspection
Swan Dive,78701,12/08/2011,97,"615 RED RIVER ST
AUSTIN, TX 78701
(30.267219828000464, -97.73690095499967)",10358258,Routine Inspection
Swan Dive,78701,02/21/2013,97,"615 RED RIVER ST
AUSTIN, TX 78701
(30.267219828000464, -97.73690095499967)",10358258,Routine Inspection
Swan Dive,78701,06/07/2012,96,"615 RED RIVER ST
AUSTIN, TX 78701
(30.267219828000464, -97.73690095499967)",10358258,Routine Inspection
Sway,78704,10/18/2013,88,"1417 S 1ST ST
AUSTIN, TX 78704
(30.25035848900046, -97.75477169399966)",10795311,Routine Inspection
Sway,78704,05/06/2013,83,"1417 S 1ST ST
AUSTIN, TX 78704
(30.25035848900046, -97.75477169399966)",10795311,Routine Inspection
Sweet Factory,78752,05/22/2014,100,"6001 AIRPORT BLVD
AUSTIN, TX 78752
(30.325264873000435, -97.71595938499968)",10970910,Routine Inspection
Sweet Factory,78752,10/29/2014,100,"6001 AIRPORT BLVD
AUSTIN, TX 78752
(30.325264873000435, -97.71595938499968)",10970910,Routine Inspection
Sweetish Hill Bakery,78703,05/03/2013,90,"1118 W 6TH ST
AUSTIN, TX 78703
(30.272527238000464, -97.75652085699966)",2800725,Routine Inspection
Sweetish Hill Bakery,78703,02/15/2012,82,"1118 W 6TH ST
AUSTIN, TX 78703
(30.272527238000464, -97.75652085699966)",2800725,Routine Inspection
Sweetish Hill Bakery,78703,07/09/2014,80,"1118 W 6TH ST
AUSTIN, TX 78703
(30.272527238000464, -97.75652085699966)",2800725,Routine Inspection
Sweetish Hill Bakery,78703,12/04/2012,79,"1118 W 6TH ST
AUSTIN, TX 78703
(30.272527238000464, -97.75652085699966)",2800725,Routine Inspection
Sweet Ritual,78751,07/11/2014,100,"4500 DUVAL ST
AUSTIN, TX 78751
(30.307076104000487, -97.7245669299997)",10675747,Routine Inspection
Sweet Ritual,78751,06/11/2013,91,"4500 DUVAL ST
AUSTIN, TX 78751
(30.307076104000487, -97.7245669299997)",10675747,Routine Inspection
Sweet Ritual,78751,06/06/2012,93,"4500 DUVAL ST
AUSTIN, TX 78751
(30.307076104000487, -97.7245669299997)",10675747,Routine Inspection
Sweet Ritual,78751,01/08/2014,93,"4500 DUVAL ST
AUSTIN, TX 78751
(30.307076104000487, -97.7245669299997)",10675747,Routine Inspection
Sweet Treets Bakery,78749,10/15/2014,91,"6705 W US 290 HWY Unit 601
AUSTIN, TX 78749
(30.23162359300045, -97.87787052699969)",11060796,Routine Inspection
Swift's Attic,78701,06/18/2013,84,"315 CONGRESS AVE Unit 200
AUSTIN, TX 78701
(30.26572992800044, -97.74365102199965)",10682910,Routine Inspection
Swift's Attic,78701,12/07/2012,85,"315 CONGRESS AVE Unit 200
AUSTIN, TX 78701
(30.26572992800044, -97.74365102199965)",10682910,Routine Inspection
Swift's Attic,78701,08/12/2014,75,"315 CONGRESS AVE Unit 200
AUSTIN, TX 78701
(30.26572992800044, -97.74365102199965)",10682910,Routine Inspection
SWOOP Events,78702,08/27/2013,100,"3012 GONZALES ST
AUSTIN, TX 78702
(30.259317480000448, -97.70672269399967)",10413782,Routine Inspection
SWOOP Events,78702,02/25/2014,89,"3012 GONZALES ST
AUSTIN, TX 78702
(30.259317480000448, -97.70672269399967)",10413782,Routine Inspection
SWOOP Events,78702,01/09/2012,93,"3012 GONZALES ST
AUSTIN, TX 78702
(30.259317480000448, -97.70672269399967)",10413782,Routine Inspection
SWOOP Events,78702,08/20/2012,94,"3012 GONZALES ST
AUSTIN, TX 78702
(30.259317480000448, -97.70672269399967)",10413782,Routine Inspection
SWOOP Events,78702,02/25/2013,97,"3012 GONZALES ST
AUSTIN, TX 78702
(30.259317480000448, -97.70672269399967)",10413782,Routine Inspection
